REFERENCE,NIVEAUETUDE
SD272MAR,non renseigné
AMP,non renseigné
127INC,non renseigné
128INC,non renseigné
TN153AMI,non renseigné
TS165FEM,non renseigné
TS165FIE,non renseigné
TS165PFIE,non renseigné
UB381FEM,non renseigné
133INC,non renseigné
UO414ENF,non renseigné
UO414MAR,Bac
UU424AMI,non renseigné
VG449FEM,non renseigné
VG449FIE,non renseigné
138INC,non renseigné
VL455FIE,CEP - CAP
VL455MAR,non renseigné
VM456MAR,non renseigné
140INC,non renseigné
VX479FEM,non renseigné
VZ486FIE,non renseigné
146INC,non renseigné
YP371FEM,non renseigné
YP371FIE,non renseigné
ZB600ENF,non renseigné
ZB600MAR,non renseigné
152INC,non renseigné
1264ENF,non renseigné
156INC,non renseigné
160INC,non renseigné
4004FEM,non renseigné
163INC,non renseigné
5EXFEM,non renseigné
167INC1,non renseigné
167INC2,non renseigné
 commerçants et chefs d'entreprise,non renseigné
11EXFIE,non renseigné
173INC,non renseigné
201OUV1,non renseigné
201OUV2,non renseigné
BA725FEM,non renseigné
203INC,non renseigné
BA725FIL,non renseigné
204INC,non renseigné
204SEC,non renseigné
206INC1,non renseigné
206INC2,non renseigné
206LOC,non renseigné
DM95FEM,Bac + 4
208INC,non renseigné
211INC,non renseigné
212INC,non renseigné
215INC,non renseigné
223CLI1,non renseigné
223CLI2,non renseigné
223CLI3,non renseigné
223CLI4,non renseigné
224INC,non renseigné
235GAR,non renseigné
235VOI,non renseigné
237INC,non renseigné
238INC,non renseigné
1134FEM,non renseigné
255INC,non renseigné
257INC1,non renseigné
257INC2,non renseigné
407PERSFIE,Primaire
HMM,non renseigné
264INC,non renseigné
270LOC1,non renseigné
270LOC2,non renseigné
272LOC1,non renseigné
272LOC2,non renseigné
273AMI2,non renseigné
273AMI3,non renseigné
273AMI4,non renseigné
273AMI5,non renseigné
FA192ENF,non renseigné
NS530,non renseigné
NS530AMI,non renseigné
NS530MAR,non renseigné
292CULT1,non renseigné
292CULT2,non renseigné
302STAN,non renseigné
308SEC,non renseigné
308STAN,non renseigné
312LOC,non renseigné
312STAN,non renseigné
316EMP,non renseigné
316STAN1,non renseigné
316STAN2,non renseigné
318EMP,non renseigné
319EMP,non renseigné
332LOC,non renseigné
332STAN,non renseigné
334LOC,non renseigné
334STAN,non renseigné
338STAN1,non renseigné
338STAN2,non renseigné
341LOC,non renseigné
341STAN1,non renseigné
341STAN2,non renseigné
343STAN1,non renseigné
343STAN2,non renseigné
345STAN1,non renseigné
345STAN2,non renseigné
347STAN1,non renseigné
347STAN2,non renseigné
348STAN,non renseigné
427PERSFDM,non renseigné
351STAN,non renseigné
352STAN,non renseigné
353ETU,non renseigné
353STAN,non renseigné
354ETU,non renseigné
354STAN,non renseigné
355STAN,non renseigné
360COIF,non renseigné
360STAN,non renseigné
MLC,non renseigné
361COIF,non renseigné
361EMP,non renseigné
361STAN,non renseigné
362COIF,non renseigné
362STAN,non renseigné
364AGT,non renseigné
364STAN,non renseigné
365AGT,non renseigné
365SEC,non renseigné
366EMP,non renseigné
367EMP1,non renseigné
367EMP2,non renseigné
367EMP3,non renseigné
373EMP,non renseigné
406INC,non renseigné
409INC,non renseigné
414INC,non renseigné
416INC,non renseigné
BP?DV,non renseigné
421INC,non renseigné
424INC,non renseigné
429INC,non renseigné
436INC,non renseigné
445INC,non renseigné
446PERS,non renseigné
452INC1,non renseigné
452INC2,non renseigné
517ENQ,non renseigné
517LOC1,non renseigné
517LOC2,non renseigné
517LOC3,non renseigné
517LOC4,non renseigné
517LOC5,non renseigné
519ENQ1,non renseigné
519ENQ2,non renseigné
519LOC2,non renseigné
519LOC3,non renseigné
519LOC4,non renseigné
519LOC5,non renseigné
519LOC6,non renseigné
542ENQ,non renseigné
542LOC2,non renseigné
542LOC3,non renseigné
542LOC4,non renseigné
601LOC1,non renseigné
601LOC2,non renseigné
601LOC3,non renseigné
601LOC4,non renseigné
603EMP,non renseigné
617FOR,non renseigné
617LOC,non renseigné
625VEN,non renseigné
627INC,non renseigné
627VEN,non renseigné
629INC,non renseigné
629LOC,non renseigné
629VEN,non renseigné
630LOC,non renseigné
630VEN,non renseigné
631CLI,non renseigné
631VEN1,non renseigné
631VEN2,non renseigné
634CLI,non renseigné
634VEN,non renseigné
645CLI,non renseigné
645VEN,non renseigné
650INC,non renseigné
650VEN1,non renseigné
650VEN2,non renseigné
673EMP,non renseigné
751FIE,non renseigné
BV1,Bac + 1
RL2,Bac + 2
KC3,Bac + 1
ZF4,Bac
EH5,Bac + 5 et plus
 commerçants et chefs d'entreprise,Certificat d'études
WA7,Bac + 3
HF8,Bac + 4
ZU9,Bac + 5 et plus
